,source_screen_name,destination_screen_name,has_mutual_following,source_follow_dest,dest_follow_source
0,Cairo67Unedited,MagCrisis,False,False,False
1,Cairo67Unedited,_lailaa1,False,False,False
2,Cairo67Unedited,ahmad_safadi1,False,False,False
3,Cairo67Unedited,IranFredomWatch,False,False,False
4,Cairo67Unedited,PressTV,False,False,False
5,Cairo67Unedited,shayxbee,False,False,False
6,Cairo67Unedited,marceldy,False,False,False
7,Cairo67Unedited,amjadt25,False,False,False
8,Cairo67Unedited,Othmanbay,False,False,False
9,Cairo67Unedited,MostafaMe4,False,False,False
10,Cairo67Unedited,jennyh15_93,False,False,False
11,Cairo67Unedited,love4thegameAK,False,False,False
12,Cairo67Unedited,liveandlovej00n,False,False,False
13,Cairo67Unedited,AssadShalhoub,False,False,False
14,Cairo67Unedited,Shadaomar,False,False,False
15,Cairo67Unedited,jamilchami1,False,False,False
16,Cairo67Unedited,BonkersLebanese,False,False,False
17,Cairo67Unedited,StefanieDekker,False,False,False
18,Cairo67Unedited,JamalsNews,False,False,False
19,Cairo67Unedited,CocoCK,False,False,False
20,Cairo67Unedited,AhmedBenjamal,False,False,False
21,Cairo67Unedited,ChristianeWaked,False,False,False
22,Cairo67Unedited,HayatMirshad,False,False,False
23,Cairo67Unedited,astrojoya,False,False,False
24,Cairo67Unedited,BaghdadPostPlus,False,False,False
25,Cairo67Unedited,mgdowney,False,False,False
26,Cairo67Unedited,Dalaayn,False,False,False
27,Cairo67Unedited,Kurds_SOS,False,False,False
28,Cairo67Unedited,outro_hoseok,False,False,False
29,Cairo67Unedited,MadonnaAoun,False,False,False
30,Cairo67Unedited,btsmyhabibis,False,False,False
31,MagCrisis,_lailaa1,False,False,False
32,MagCrisis,ahmad_safadi1,False,False,False
33,MagCrisis,IranFredomWatch,False,False,False
34,MagCrisis,PressTV,False,False,False
35,MagCrisis,shayxbee,False,False,False
36,MagCrisis,marceldy,False,False,False
37,MagCrisis,amjadt25,False,False,False
38,MagCrisis,Othmanbay,False,False,False
39,MagCrisis,MostafaMe4,False,False,False
40,MagCrisis,jennyh15_93,False,False,False
41,MagCrisis,love4thegameAK,False,False,False
42,MagCrisis,liveandlovej00n,False,False,False
43,MagCrisis,AssadShalhoub,False,False,False
44,MagCrisis,Shadaomar,False,False,False
45,MagCrisis,jamilchami1,False,False,False
46,MagCrisis,BonkersLebanese,False,False,False
47,MagCrisis,StefanieDekker,False,False,False
48,MagCrisis,JamalsNews,False,False,False
49,MagCrisis,CocoCK,False,False,False
50,MagCrisis,AhmedBenjamal,False,False,False
51,MagCrisis,ChristianeWaked,False,False,False
52,MagCrisis,HayatMirshad,False,False,False
53,MagCrisis,astrojoya,False,False,False
